Municipality,Time Period,link,notes,Town population (2022),Town size (Square miles) (2010),
Andover,2020-2024,https://www.andoverconnecticut.org/board-finance/pages/town-budget,,"3,150",15.45,
Ansonia,2009-2022,https://www.cityofansonia.com/content/8132/8142/8158/default.aspx,,"18,923",6.02,
Ashford,2019-2022,https://ashfordtownhall.org/documents/budget-information-2019-2020/,,"4,222",38.76,
Avon,2019-2024,https://www.avonct.gov/home/pages/annual-town-budget,,"18,871",23.15,
Barkhamsted,,,"cannot find an overall budget or report that is done consistantly, there are breakages/ missing reports throughout years, or the report type changes","3,667",36.25,
Beacon Falls,2006-2023,https://www.beaconfalls-ct.org/finance/pages/municipal-budgets-prior-years,,"6,126",9.67,
Berlin,2018-2024,https://www.berlinct.gov/topic/index.php?topicid=324&structureid=16,,"20,197",26.32,
Bethany,2021-2024,https://bethany-ct.com/finance-department,,"5,277",21.13,
Bethel,2021-2024,https://bethel-ct.gov/index.asp?SEC=F3472A81-1BBD-41B7-8E36-8C112A9723E8&DE=5823EE2E-D67C-4091-9EF9-534412C1DA95,,"20,684",16.89,
Bethlehem,2022-2023,https://bethlehemct.org/index.asp?SEC=F83005A7-5C0E-4990-B4B8-C100EFB232DF,,"3,409",19.37,
Bloomfield,2011-2024,https://www.bloomfieldct.gov/216/Past-Annual-Budgets,,"21,560",26.09,
Bolton,1999-2014,https://town.boltonct.org/departments/finance/budgets,,"4,834",14.41,
Bozrah,2023-2024,https://www.townofbozrah.org/DocumentCenter/View/556/BOS-BUDGET-2023-2024-APPROVED?bidId=,Cant find any past documents,"2,420",19.96,
Branford,2012-2024,https://www.branford-ct.gov/departments/finance-department/rtm-approved-budgets,,"28,148",21.83,
Bridgeport,2013-2022,https://www.bridgeportct.gov/government/departments/finance/annual-comprehensive-financial-report-acfr-and-single-audits,annual financial reports,"148,377",15.97,
Bridgewater,2016-2022,https://www.bridgewater-ct.gov/board-finance/pages/reports-documents,,"1,652",16.4,
Bristol,2018-2024,https://www.bristolct.gov/144/Budget,,"61,330",26.41,
Brookfield,2014-2024,https://www.brookfieldct.gov/finance/pages/budget-financial-reports,,"17,543",19.77,
Brooklyn,2013-2024,https://www.brooklynct.org/financial-department/pages/adopted-budgets,,"8,502",29.09,
Burlington,2018-2024,https://www.burlingtonct.us/finance-office,,"9,710",29.74,
Canaan,2021-2024,https://www.canaanfallsvillage.org/entities/board-of-finance,"no past reports are displayed on the website, and it seems like it has not been updated witht he current ones either","1,081",32.91,
Canterbury,2020-2021,https://www.canterburyct.org/bc-bf,,"5,102",39.94,
Canton,2005-2022,https://www.townofcantonct.org/annual-budgets,,"10,091",24.59,
Chaplin,2014-2023,https://www.chaplinct.org/board.htm?id=4dohfogu,,"2,156",19.43,
Cheshire,2021-2023,https://www.cheshirect.org/government/departments_and_divisions/finance,,"28,994",33.07,
Chester,2020-2022,https://www.chesterct.org/board-finance/pages/annual-reports,,"3,757",16.05,
Clinton,2014-2023,https://clintonct.org/608/Approved-Budgets,,"13,399",16.21,
Colchester,2007-2024,https://www.colchesterct.gov/finance-department/pages/adopted-budget,,"15,572",48.98,
Colebrook,2020-2023,https://www.townofcolebrook.org/town-budget/,,"1,369",31.53,
Columbia,2017-2024,https://www.columbiact.org/finance/page/approved-bos-boe-budgets,,"5,258",21.37,
Cornwall,2020-2021,https://cornwallct.org/2021/11/16/cornwall-town-report-5-year-capital-plan/,"only provides 2020-2021 as the town plan, and then provides a 5 year capital plan on the same page","1,573",4842.33,
Coventry,2014-2024,https://www.coventryct.org/124/Finance,,"12,285",46.06,
Cromwell,2013-2023,https://www.cromwellct.com/finance-department/pages/annual-budgets,,"14,317",37.57,
Danbury,2002-2023,https://www.danbury-ct.gov/Archive.aspx?AMID=38,,"86,967",12.45,
Darien,2016-2024,https://www.darienct.gov/168/Budget-Documents,,"21,926",41.89,
Deep River,2012-2024,https://www.deepriverct.us/board-finance/pages/town-budgets-and-finance-reports,,"4,445",12.66,
Derby,2021-2023,https://www.derbyct.gov/BudgetsandAudits,,"12,358",13.51,
Durham,2005-2024,https://durham-ct.webflow.io/file-directory?file-type=Budget&entity=Board+of+Finance,,"7,207",5.06,
East Granby,2018-2023,https://eastgranbyct.org/board-of-finance/,found under our town -> fincancials,"5,218",23.66,
East Haddam,2009-2021,https://www.easthaddam.org/departments/FinanceDepartment/Budgets,,"8,949",17.56,*** uses a tool called cleargov in order to break down the town budget and changes over time
East Hampton,2006-2024,https://www.easthamptonct.gov/finance/pages/annual-budgets,,"12,960",54.25,
East Hartford,2008-2024,https://www.easthartfordct.gov/finance/pages/adopted-budgets,,"50,718",35.65,
East Haven,2020-2024,https://www.easthaven-ct.gov/finance-department/pages/approved-budgets,,"27,682",18,
East Lyme,2009-2025,https://eltownhall.com/government/departments/finance/,,"18,788",12.3,
East Windsor,2008-2022,https://www.eastwindsor-ct.gov/board-finance/pages/previous-town-budgets,,"11,176",34,
Eastford,2020-2024,https://eastfordct.gov/eastford-news-and-reports/town-government-budgets/,,"1,675",26.25,
Easton,2014-2024,https://www.eastonct.gov/finance/pages/budgets,,"7,630",28.92,
Ellington,2006-2024,https://www.ellington-ct.gov/departments-and-services/finance/archived-budgets,,"16,977",27.42,
Enfield,2017-2024,https://www.enfield-ct.gov/193/Annual-Budget,,"41,245",34.06,
Essex,2013-2023,https://www.essexct.gov/finance-department/pages/approved-annual-budgets,,"6,793",33.27,
Fairfield,2021-2024,https://www.fairfieldct.org/service/finance/annual_budget.php,,"62,871",10.4,
Farmington,2014-2022,https://www.farmington-ct.org/departments/finance-purchasing/financial-reports,,"26,728",29.9,
Franklin,2023-2024,https://www.franklinct.com/board-finance,Only has the most recent budget displayed,"1,881",28.02,
Glastonbury,2019-2024,https://www.glastonburyct.gov/departments/department-directory-a-h/financial-administration/budget,,"35,199",19.49,
Goshen,2016-2022,https://www.goshenct.gov/board-of-finance,,"3,203",51.27,
Granby,2015-2023,https://www.granby-ct.gov/Archive.aspx?AMID=44,,"11,041",43.63,
