Municipalities,2020,2021,2022,2023,2024
ANDOVER,3149,3133,"3,150","3,144","3,177"
ANSONIA,18902,18815,"18,923","19,008","19,195"
ASHFORD,4185,4186,"4,222","4,229","4,263"
AVON,18918,18848,"18,871","18,883","19,106"
BARKHAMSTED,3650,3647,"3,667","3,677","3,717"
BEACON FALLS,5993,6033,"6,126","6,206","6,271"
BERLIN,20154,20113,"20,197","20,429","20,646"
BETHANY,5294,5288,"5,277","5,271","5,324"
BETHEL,20331,20537,"20,684","20,678","21,490"
BETHLEHEM,3380,3386,"3,409","3,421","3,449"
BLOOMFIELD,21460,21480,"21,560","21,884","22,198"
BOLTON,4868,4819,"4,834","4,834","4,895"
BOZRAH,2422,2417,"2,420","2,412","2,426"
BRANFORD,28220,28176,"28,148","28,031","28,448"
BRIDGEPORT,148698,148333,"148,377","148,028","151,599"
BRIDGEWATER,1659,1658,"1,652","1,646","1,671"
BRISTOL,60786,60661,"61,330","61,601","62,195"
BROOKFIELD,17517,17482,"17,543","17,489","18,186"
BROOKLYN,8451,8488,"8,502","8,612","8,708"
BURLINGTON,9520,9591,"9,710","9,746","9,804"
CANAAN,1081,1078,"1,081","1,082","1,088"
CANTERBURY,5041,5060,"5,102","5,140","5,222"
CANTON,10125,10083,"10,091","10,146","10,273"
CHAPLIN,2141,2143,"2,156","2,157","2,179"
CHESHIRE,28728,28628,"28,994","29,200","30,610"
CHESTER,3744,3752,"3,757","3,761","3,748"
CLINTON,13174,13400,"13,399","13,402","13,467"
COLCHESTER,15548,15501,"15,572","15,504","15,752"
COLEBROOK,1360,1357,"1,369","1,368","1,370"
COLUMBIA,5263,5246,"5,258","5,268","5,359"
CORNWALL,1566,1571,"1,573","1,575","1,585"
COVENTRY,12238,12205,"12,285","12,308","12,445"
CROMWELL,14203,14302,"14,317","14,363","14,388"
DANBURY,86570,86759,"86,967","86,124","88,692"
DARIEN,21527,21500,"21,926","22,020","22,528"
DEEP RIVER,4412,4462,"4,445","4,454","4,483"
DERBY,12326,12274,"12,358","12,406","12,915"
DURHAM,7151,7231,"7,207","7,204","7,230"
EAST GRANBY,5218,5180,"5,218","5,218","5,278"
EAST HADDAM,8872,8965,"8,949","8,987","9,061"
EAST HAMPTON,12709,12874,"12,960","12,989","13,109"
EAST HARTFORD,51016,50731,"50,718","50,654","51,127"
