Municipality,Year,Bulky Waste,Recycling,Tipping Fees,Admin Costs,Hazardous Waste,Contractual Services,Landfill Costs,Total Sanitation/refuse,Only Public Works,Transfer station/Recycling Center wages,Hauling fees,Curbside Pickup fees (town),Waste Collection,notes/ other broken down variables
Andover,2020-2021,"$29,000.00",,"$43,000.00",,,,,"$149,100.00",,"$20,600.00","$38,000.00",,,"town also includes: 
  - brush pile removal
  -maintenance fees
  -electricity
  - trash compactor lease"
Andover,2021-2022,"$30,160.00",,"$44,720.00",,,,,"$153,661.00",,"$21,218.00","$39,520.00",,,
Ansonia,2020-2021,,"$300,000.00",,,,,"$38,000.00","$1,595,577.00",,included in break down but blank,"$800,000.00","$495,577.00",,
Ansonia,2021-2022,,"$310,500.00",,,,,"$30,000.00","$1,676,700.00",,,"$828,000.00","$538,200.00",,
Ansonia,2022-2023,,"$350,000.00",,,,,"$30,000.00","$2,025,000.00",,,"$900,000.00","$775,000.00",,
Ashford,2021-2022,,,,,,,,,,,,,,
Ashford,2022-2023,,"$240,000.00",,,,,,,,,,,,
Avon,2020-2021,,,,,,,,,"$7,550,869.00",,,,,- town does not break down anything to do with waste
Avon,2021-2022,,,,,,,,,"$6,927,349.00",,,,,
Avon,2022-2023,,,,,,,,,"$5,786,646.00",,,,,
Barkhamsted,,,,,,,,,,,,,,,
Beacon Falls,2020-2021,"$30,086.00","$80,792.00",,,"$6,570.00",,,"$375,222.00",,,,"$257,775.00",,
Beacon Falls,2021-2022,"$55,000.00","$85,100.00",,,"$15,000.00",,,"$420,100.00",,,,"$265,000.00",,
Beacon Falls,2022-2023,"$50,000.00","$117,000.00",,,"$10,000.00",,,"$457,000.00",,,,"$280,000.00",,
Berlin,2021-2022,,,,,,,,"$1,673,740.00",,,,,,- town only generalizes 'refuse' under public works
Berlin,2022,,,,,,,,"$1,850,000.00",,,,,,
Berlin,,,,,,,,,"$1,850,000.00",,,,,,
Bethany,2020-2021,"$28,000.00","$25,000.00","$110,000.00",,,,,"$402,101.00",,,,"$164,430.00",,"- town also includes: 
  -salaries
  -rentals
  - tires/ oil
  -miscellaneous"
Bethany,2022-2023,"$28,000.00","$45,000.00","$110,000.00",,,,,"$512,070.00",,,,"$223,570.00",,
Bethel,2020-2021,,,,"$1,000.00",,"$60,000.00",,,,"$134,596.00",,,,
Bethel,2021-2022,,,,"$1,000.00",,"$60,000.00",,,,"$141,751.00",,,,
Bethel,2022-2023,,,,"$1,000.00",,"$60,000.00",,,,"$141,751.00",,,,
Bethlehem,2021-2022,,,,,,,,,,,,,,"- town only expenses ""refuse disposal"" as a genralized charge"
Bloomfield,2019,"$8,300.00",,,,,,,,,,,,,- town only shows expenses for bulky waste
Bloomfield,2020,"$17,500.00",,,,,,,,,,,,,
Bloomfield,2021,"$17,500.00",,,,,,,,,,,,,
Bolton,2020,,,,,,,,"$533,076.00",,,,,,"- town generalized ""refuse services"""
Bolton,2021,,,,,,,,"$510,982.00",,,,,,
Bolton,2022,,,,,,,,"$522,604.00",,,,,,
Bozrah,2019-2020,"$12,500.00",,"$13,200.00",,,,,"$72,956.00",,,"$8,500.00",,,"town also includes:
  - attendant cost 
  - equiptment rental 
  - SCRRRA/ Saftey-Kleen
  - Site improvements 
  - Portable toilet 
  -electric/ telephone 
  -PAYT Bags"
Bozrah,2020-2021,"$12,750.00",,"$13,500.00",,,,,"$74,556.00",,,"$8,500.00",,,
Bozrah,2022-2023,"$12,750.00",,"$13,500.00",,,,,"$80,300.00",,,"$8,500.00",,,
Branford,2020-2021,,,,,,,"$29,400.00","$3,381,686.00",,"$306,279.00",,"$1,078,000.00",,"Town also includes: 
  - bonuses/ overtime for worker wages 
  - associated utilities 
  - fuel costs
  - material handling 
  - advertising 
  - equiptment 
  - state fees/ testing 
  -repairs and maintenance"
Branford,2021-2022,,,,,,,"$29,400.00","$3,509,783.00",,"$306,506.00",,"$1,100,320.00",,
Bridgeport,,,,,,,,,,,,,,,
Bridgewater,2022,,,,,,,,"$43,908.00",,,,,,
Bristol,2022,,,,,,,,"$1,243,420.00",,,,,,
Brookfield,2021-2022,,,,,"$20,700.00",,,"$53,300.00",,,,,,
Brooklyn,2021-2022,,,,,"$10,000.00","$180,000.00",,"$349,103.00",,"$33,052.00",,,,"town also includes: 
  - bag fee
  - permits 
  - rentals"
Burlington,2021-2022,,,,,,,"$2,500.00","$1,193,170.00",,,,,,
Canaan,,,,,,,,,,,,,,,
Canterbury,2020-2021,,,,,,,,"$2,016,060.00",,,,,,
Canton,2022-2023,,,,,,,,,,,,,,"- town only shows expenses for the transfer station, and it seems like it was a new expenditure for the 2022-2023 FY"
Chaplin,,,,,,,,,,,,,,,
Cheshire,2021-2022,,"$93,000.00","$765,000.00",,"$37,000.00",,,,,,,"$976,000.00",,"Town also includes: 
  - illegal dumping fees 
  - mileage to waterbury fee 
  - new homes fee"
Chester,,,,,,,,,,,,,,,
Clinton,2020-2021,,,,,,,"$113,754.00",,,,,,,
Colchester,2021-2022,,,,,,,,"$15,000.00",,,,,,
Colebrook,,,,,,,,,,,,,,,
Columbia,2021-2022,,,,,,,,"$238,741.00",,,,,,
Cornwall,,,,,,,,,,,,,,,
Coventry,,,,,,,,,,,,,,,
Cromwell,,,,,,,,,,,,,,,
Danbury,2021-2022,,,,,,,,"$267,500.00",,,,,,
Darien,2021-2022,,,,,"$8,186.00","$1,103,717.00",,,,,,,,
Deep River,2021-2022,"$105,800.00","$11,196.00","$109,000.00",,,,,,,,,,,- household hazardous waste facility
Derby,2021-2022,,"$127,969.00",,,"$6,500.00",,"$4,000.00","$1,306,146.00",,,,,,"Town also includes: 
  - supplies fees 
  - permit fees 
  - bin fees 
  -"
Durham,2020-2021,,,,,"$7,052.00",,,,,,,,,
East Granby,2022,,,,,,,,"$806,717.00",,,,,,
East Haddam,2021,,,,,,,,,,,,,,
East Hampton,2020-2021,,,,,,,,,,,,,,
East Hartford,2022,,"$423,479.00",,,,"$19,253.00",,"$1,152,679.00",,,,,,
East Haven,2021-2022,,,,,,"$4,000.00",,"$2,484,201.00",,,,,,"Town includes: 
  - two forms of waste collection, the trashmaster and the disposal fees
  - environmental disposal services 
  - hazewaste central?"
East Lyme,,,,,,,,,,,,,,,"- town breaks down waste charges as only sanitation/ public works, does not"
East Windsor,2021-2022,,,"$240,870.00",,- not done yearly,,,"$957,460.00",,,,,"$716,590.00",
Eastford,2020-2021,,,"$61,400.00",,"$1,045.00",,,"$82,082.00",,"$16,000.00",,,,"Town also includes: 
  - education 
  - supplies 
  - equipt maintenance 
  - MidNEROC
  -DEP fees"
Easton,2020-2021,,"$248,441.00",,,,,,,,,,,,
Ellington,2021-2022,"$627,300.00","$384,744.00",,,"$16,501.00",,"$576,400.00",,,,,,,
Enfield,,,,,,,,,,,,,,,
Essex,2021,"$15,000.00",,,,,,,,,,,,,
Fairfield,2021,,,,,,"$916,841.00",,"$4,340,707.00",,,,,,
Farmington,2022,,,,,,,,"$1,958,080.00",,,,,,
Franklin,,,,,,,,,,,,,,,
Glastonbury,2021,,,"$257,273.00",,,,,"$948,368.00",,,,,,
Goshen,2020-2021,,,,,,,,,,,,,,
Granby,2020-2021,,"$131,000.00","$318,500.00",,,,,"$894,100.00",,,,,,
Greenwich,,,,,,,,,,,,,,,
Griswold,,,,,,,,,,,,,,,
Groton,2021,,,,,,,,,,,,,,- tipping fee is $58/ ton
Guilford,,,,,,,,,,,,,,,**Only 2023-2024 is currently available. Additionally. Alyssa specifies that she has information--11/07; SL
Haddam,2019-2020,"$80,016.00","$9,887.00","$104,153.00","$4,667.00","$16,036.00",,"$13,925.00",,,"$97,837.00",,,,"Other classifications of waste disposal cost in the budgets include:
  1. Brush Disposal.
  2. Maintenance of Site--11/07; SL
 **The costs of Brush Disposal and Maintenance of Site are 14,715 and 15,440 respectively.
  **The cost included under Admin is the cost of Electric.
  **I included Overtime under Transfer Station Wages.
  **I included MSW Disposal fee under Tipping fees. 
  Any opinions, comments or suggestions in this regard are welcome."
